actor_name,birth_year,known_for,actor_role,actor_awards
Moyan Wen,none,"Yi dao tian tang, Always Have, Always Will",Reparto,None
Chronox,none,,Reparto,None
Liara Deia,none,,"Reparto,  Dirección de arte,  Dirección de casting",None
Gwyneth Irene,none,,Reparto,None
Jenniefs,none,,Reparto,None
Davina Jereni,none,,Reparto,None
Lupita Nyong'o,1983,"Black Panther, Nosotros","Reparto,  Producción,  Equipos adicionales","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Joseph Quinn,1994,"Overlord, Un lugar tranquilo: Día 1","Reparto,  Banda sonora","Academy of Science Fiction, Fantasy & Horror Films, USA, MTV Movie + TV Awards"
Alex Wolff,1997,"Pig, Tiempo","Reparto,  Composición,  Producción","BMI Film & TV Awards, Denver International Film Festival"
Djimon Hounsou,1964,"Guardianes de la Galaxia, En América","Reparto,  Producción,  Dirección","Academy Awards, USA, Acapulco Black Film Festival"
Eliane Umuhire,1986,"Augure, Los árboles de la paz",Reparto,"Chicago International Film Festival, Polish Film Festival"
Tao Guo,none,"Scoop, Heropanti 2",Reparto,None
Betty Faye,none,,Reparto,Kraken International Film Festival
Aitana Llorente,none,,Reparto,None
John Pritchard,none,,Reparto,None
Ivan Kingsley,none,,Reparto,None
RAAHI,none,"The Choice, Notebook","Reparto,  Producción,  Edición",None
Hema Chaudhary,none,,Reparto,None
Pooja Kandare,1994,"Aamdar Niwas, 3rd October","Reparto,  Diseño de vestuario",None
Sanit Swami,none,"Hatya, Journey Interrpted","Reparto,  Dirección de casting,  Guion",None
Aditi Lakhpati,none,,"Reparto,  Maquillaje",None
Pekka Luodeslampi,none,"Hello Au Revoir, Hillary Hawkins: You Can Do It!",Reparto,None
Courtney McCrea,none,Penciltale,Reparto,None
Aaro Alhonen,none,,Reparto,None
Michael Majalahti,1973,"Rendel, ""We Dont Say Retard Anymore""","Reparto,  Guion",None
Hrithik Roshan,1974,"Koi... Mil Gaya, Jodhaa Akbar","Reparto,  Dirección de la segunda unidad o asistencia a dirección,  Música","Filmfare Awards, Awards of the International Indian Film Academy"
Deepika Padukone,1986,"Padmavati, Om Shanti Om","Reparto,  Producción,  Banda sonora","Filmfare Awards, Awards of the International Indian Film Academy"
Anil Kapoor,1956,"Animal, Race 3","Reparto,  Producción,  Música","Filmfare Awards, Awards of the International Indian Film Academy"
Karan Singh Grover,1982,"Dill Mill Gayye, Fighter","Reparto,  Composición","Indian Television Academy Awards, India, Gold Awards"
Akshay Oberoi,1985,"Gurgaon, Laal Rang",Reparto,"IWM Digital Awards, Indian Telly Streaming Awards"
Bryan James,1988,"Youthful Daze, Hospital General","Reparto,  Guion,  Producción",None
Julian Glover,1935,"El imperio contraataca, Solo para sus ojos","Reparto,  Banda sonora","Screen Actors Guild Awards, Northeast Film Festival, US"
Jaime Winstone,1985,"Tomb Raider, Kidulthood","Reparto,  Producción","""Irina Palm dOr"", British Urban Film Festival"
Lauren Metcalfe,none,"El escándalo de Christine Keeler, La guerra de los mundos",Reparto,None
Lauren Staerck,none,"Curse of Jack Frost, Dinosaur Prison",Reparto,None
Baz Black,none,"Into the Badlands, Dublin Crust","Reparto,  Dirección,  Guion","Tabloid Witch Awards, Underground Cinema Awards, Ireland"
Daniel Vanrell,none,"Volviendo a Casa: Esperanza, Unidad 23: Recargada",Reparto,None
Juanjo Martínez,none,"Corazones en llamas, Cuadras Largas","Guion,  Producción,  Edición",None
Ariel Li Gotti,none,"Corazones en Llamas: Fuego Cruzado, Historias de Hotel",Reparto,None
Raul Perez,none,"Historias de Hotel, Asesina Aprendiz",Reparto,None
Laura Gorosito,none,"Unidad 23, Corazones en Llamas 3",Reparto,None
Mitch Lowe,none,"A Vigilante, Gotti",Producción,None
Nathan McAlone,none,,None,None
Ambre Anderson,none,"La supervivencia de una chica con curvas, Never Would Have Made It: The Marvin Sapp Story","Reparto,  Música,  Producción","Scare Fest Horror Convention, World Film Festival in Cannes"
Hillary Hawkins,none,"""Sherris Black Sin"", A Taste of Revenge","Reparto,  Guion,  Dirección","Voice Arts Awards, Brightside Tavern Film Festival"
Chantal Maurice,none,"P-Valley, Dos balas muy perdidas","Reparto,  Guion,  Producción","International Black Film Festival of Nashville, Seoul Web Fest"
Shiek Mahmud-Bey,none,"No me chilles, que no te veo, Buffalo Soldiers","Reparto,  Producción,  Dirección",None
Aixa Kendrick,none,"Hermanísimas, The Company You Keep","Reparto,  Guion,  Dirección de la segunda unidad o asistencia a dirección",None
Mahesh Babu,1975,"Athadu, Dookudu","Reparto,  Especialistas,  Música","Filmfare Awards South, South Indian International Movie Awards"
Sreeleela,2001,"PellisandaD, Guntur Kaaram",Reparto,South Indian International Movie Awards
Meenaakshi Chaudhary,none,"HIT: The 2nd Case, Guntur Kaaram",Reparto,South Indian International Movie Awards
Ramya Krishnan,1970,"Baahubali 2, la conclusión, Jailer","Reparto,  Banda sonora","Filmfare Awards South, South Indian International Movie Awards"
Jayaram,1964,"Thuppakki, Thooval Kottaram","Reparto,  Música,  Equipos adicionales","Asianet Film Awards, Kerala State Film Awards"
Paul Dawber,none,,Reparto,Maverick Movie Awards
Nathan Hill,none,,"Reparto,  Producción,  Dirección","Continental Film Festival, Melbourne Underground Film Festival"
Will Hutchins,none,"Red Belly, Sparks Underwater","Reparto,  Producción,  Guion",None
Sean Millis,none,,Reparto,None
Kevin Dee,none,"Underbelly, The Minority Vs Baby Steve: Sabotage","Reparto,  Producción,  Guion","Eerie Horror Fest, Horrible Imaginings Film Festival"
Sofía Espinosa,none,"Gloria, Los Bañistas","Reparto,  Guion,  Producción","Ariel Awards, Mexico, Mexican Cinema Journalists"
Alex De La Torre,none,,Reparto,None
Roberto Sosa,1970,"El fuego de la venganza, El fantástico mundo de Juan Orol","Reparto,  Dirección,  Dirección de la segunda unidad o asistencia a dirección","Ariel Awards, Mexico, Chicago International Film Festival"
Marco Iván Nevarez,none,La Puerta Verde,Reparto,None
Laura López Luján,none,,Reparto,None
Brenna Llewellyn,none,"The Color Rose, Recess: Third Street",Reparto,"Leo Awards, Canada Shorts Film Festival"
Dylan Leonard,none,"""DCs Legends of Tomorrow"", The Hippie Who Came to Roam","Reparto,  Composición,  Música",None
Dean Dawson,none,"Mystery Television, Crazy Love","Reparto,  Producción",None
Matt Reznek,none,"""Sarahs Song"", Exalted","Reparto,  Cámara y electricidad",None
Karin Kunzo,none,"Membrane, Canal and Allen","Reparto,  Edición",None
Timothée Chalamet,1995,"Lady Bird, Beautiful boy, siempre serás mi hijo","Reparto,  Producción,  Banda sonora","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Zendaya,1996,"El gran showman, Malcolm & Marie","Reparto,  Producción,  Sonido","Academy of Science Fiction, Fantasy & Horror Films, USA, BET Awards"
Rebecca Ferguson,1983,"Misión: Imposible - Nación secreta, Dune","Reparto,  Producción,  Banda sonora","Academy of Science Fiction, Fantasy & Horror Films, USA, Critics Choice Awards"
Javier Bardem,1969,"No es país para viejos, Mar adentro","Reparto,  Producción,  Música","Ariel Awards, Mexico, Academy Awards, USA"
Josh Brolin,1968,"Vengadores: Endgame, Vengadores: Infinity War","Reparto,  Producción,  Dirección","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Madison Hodges,none,"El intercambio, Bonds of Grief","Reparto,  Guion,  Dirección","Festigious International Film Festival, Actors Awards, Los Angeles"
Melanie Rosedale,none,"Wasted Time, 2015: Future Uncertain","Reparto,  Edición,  Guion","Festigious International Film Festival, Actors Awards, Los Angeles"
Kerwin Gonzalez,none,"""Love Songs Werent Meant to Make You Cry"", 3 Days",Reparto,"Top Shorts Film Festival, Festigious International Film Festival"
Kevin Austra,none,"Ramesses, Conciliate","Reparto,  Guion,  Dirección","Top Indie Film Awards, Top Shorts Film Festival"
Sedric Willis,none,"Backstage, Out of the Ashes",Reparto,"Festigious International Film Festival, Actors Awards, Los Angeles"
Yash Shetty,none,"K.G.F: Chapter 2, Kaiva",Reparto,None
Pramod Shetty,1983,"Drishya 2, Kirik Party","Reparto,  Producción,  Cámara y electricidad","South Indian International Movie Awards, IIFA Utsavam"
Navya Poojary,none,"Kanasu Maratakkide, Bojaraj MBBS",Reparto,None
Suraj Comedy Khiladi,none,"Foreign scotch, Dooradarshana",Reparto,None
Vaijanath Biradar,none,"Uppi 2, Golibar",Reparto,Filmfare Awards South
Eric Roberts,1956,"Puro vicio, El caballero oscuro","Reparto,  Producción,  Banda sonora","Academy Awards, USA, Bare Bones International Film & Music Festival"
Vittorio Gassman,1922,"La escapada, Kean","Reparto,  Guion,  Dirección","Cannes Film Festival, Chicago International Film Festival"
Jeff Conaway,1950,"Taxi, Caramelo asesino","Reparto,  Guion,  Producción","Golden Globes, USA, TV Land Awards"
Franco Nero,1941,"Django desencadenado, La jungla 2","Reparto,  Producción,  Guion","Art Film Festival, Australian Film Institute"
Silvia Colloca,1977,"Van Helsing, Lesbian Vampire Killers","Reparto,  Guion,  Producción",Logie Awards
Jonathan Timmerman,none,"Sides, Downstream","Equipos adicionales,  Reparto,  Dirección de la segunda unidad o asistencia a dirección",None
Alyson Daniel,none,"Get Spy, The X Species","Reparto,  Guion,  Dirección",None
Chiara Maya,none,"Guide On, Sides","Reparto,  Producción,  Dirección de producción",None
Jared Martzell,none,"The Process, Fallen Souls",Reparto,None
Gregory DePetro,none,"Do Me a Solid, Hate Crime","Reparto,  Guion,  Producción",None
Paul Hickert,none,"FBI, Ley y orden: Unidad de Víctimas Especiales","Reparto,  Equipos adicionales,  Dirección","Jersey Shore Film Festival, US, Independent Shorts Awards"
Sammy Curcuru,none,"Something Wicked, Moths",Reparto,None
Oakes Fegley,2004,"El jilguero, Wonderstruck: El museo de las maravillas",Reparto,"Young Artist Awards, International Online Cinema Awards (INOCA)"
Mary Jo Catlett,1938,"Bob Esponja: La película, Vamos de polis","Reparto,  Banda sonora","Annie Awards, Daytime Emmy Awards"
Henry Golding,1987,"The Gentlemen: Los señores de la mafia, Snake Eyes: el origen","Reparto,  Producción","National Board of Review, USA, Screen Actors Guild Awards"
Brandon Soo Hoo,1995,"G.I. Joe, El juego de Ender",Reparto,"Young Artist Awards, VC FilmFest - Los Angeles Asian Pacific Film Festival"
Lucy Liu,1968,"Los ángeles de Charlie, Chicago","Reparto,  Dirección,  Producción","Academy of Science Fiction, Fantasy & Horror Films, USA, American Comedy Awards, USA"
Sandra Oh,1971,"Entre copas, Anatomía de Grey","Reparto,  Producción,  Guion","Academy of Science Fiction, Fantasy & Horror Films, USA, Biarritz International Festival of Audiovisual Programming"
Michelle Yeoh,1962,"Tigre y dragón, Crazy Rich Asians","Reparto,  Producción,  Guion","Academy Awards, USA, Academy of Science Fiction, Fantasy & Horror Films, USA"
Sarah Noelle,none,"Witchblossom, Life Is Strange: Before the Storm","Reparto,  Dirección de fotografía y cámara","Conocido/a por, Más de esta persona"
Kris Smith,none,"""Im Still Here"", The Lost School","Producción,  Guion,  Reparto","Spain Film Critics Association Awards, New York City Horror Film Festival"
Stephen Brodie,none,"Reservation Dogs, El llanero solitario","Reparto,  Dirección,  Guion","Bare Bones International Film & Music Festival, Fort Worth Indie Film Showcase, US"
Rudy Ledbetter,none,"Out of Exile, TMZ Live","Reparto,  Producción,  Equipos adicionales",None
Dax Campbell,none,"Detective Knight: Última misión, Detective Knight: Sin piedad","Reparto,  Producción,  Guion",None
Amber Doig-Thorne,none,,"Reparto,  Producción,  Guion","Birmingham Film Festival, Stranger Days Independent Film Festival"
Bill Fellows,1957,,Reparto,Hull Gong Awards
Mark Spayne,none,"The Last Audition, Parallel Lies","Reparto,  Producción,  Dirección",None
Kennedy Simpson,none,Power Cut,Reparto,None
Emily-Jane Jones,none,"""This Time Next Year Ill Be Famous"", Cerulean","Reparto,  Localización","Conocido/a por, Más de esta persona"
Kevin L. Walker,1987,"Vigilante Diaries, Occult Squad","Reparto,  Guion,  Producción",None
Donnabella Mortel,none,"Ulterior Motives: Reality TV Massacre, Playing Pretend","Reparto,  Guion,  Producción",None
Sidharth Malhotra,1985,"Kapoor & Sons, Hasee Toh Phasee","Reparto,  Dirección de la segunda unidad o asistencia a dirección,  Guion","Filmfare Awards, Awards of the International Indian Film Academy"
Raashi Khanna,1990,"Madras Cafe, Rudra: The Edge of Darkness","Reparto,  Música,  Producción","Apsara Film Producers Guild Awards, South Indian International Movie Awards"
Disha Patani,1992,"Kalki 2898-AD, Malang","Reparto,  Publicista","Awards of the International Indian Film Academy, Stardust Awards, India"
Mridul Raj Anand,none,"Yodha, R K aur I","Reparto,  Guion,  Música",None
Kritika Bharadwaj,none,"Mismatched, Rashmi Rocket",Reparto,None
Jeffrey Schneider,none,"Killer Clown Girls, Crystal","Producción,  Edición,  Dirección",None
Geno Romo,1972,"Fatal Encounter: Emergence of Talents, Vicious","Reparto,  Especialistas,  Dirección de la segunda unidad o asistencia a dirección",Bare Bones International Film & Music Festival
Nick Dent,none,"Crystal, Happy Birthday","Reparto,  Dirección,  Producción","Conocido/a por, Más de esta persona"
Bob Olin,none,"Twisted Fates, Thingz","Reparto,  Producción,  Dirección",None
Marzell Sampson,none,"The Devil Knows His Own, Valeria","Reparto,  Dirección de la segunda unidad o asistencia a dirección",None
Raghveer Boli,1987,"Sheran Di Kaum Punjabi, Ik Sandhu Hunda Si",Reparto,None
Ravi Dehru,none,,"Reparto,  Edición,  Dirección",None
Sanjay Dutt,1959,"Lage Raho Munna Bhai, Agneepath","Reparto,  Música,  Producción","Filmfare Awards, Awards of the International Indian Film Academy"
Gippy Grewal,1983,"Jatt James Bond, Manje Bistre","Reparto,  Producción,  Guion","Zee Cine Awards, PTC Punjabi Film Awards"
Harpreet Kaler,none,"Nikka Zaildar, Mukaddar",Reparto,None
Will Hutchins,none,"Red Belly, Sparks Underwater","Reparto,  Producción,  Guion",None
Maria Nasrallah,none,"Residence, Jett","Maquillaje,  Reparto,  Efectos especiales",None
Ella Bourne,none,"El exorcismo de Eastfield, Flunk","Reparto,  Dirección,  Producción","Melbourne Underground Film Festival, Accolade Competition"
Karina Sorelli,none,,"Reparto,  Producción,  Especialistas","Sydney Indie Film Festival, Paris Short Film Festival"
Steven Haar,none,"""Topless Toris Tomb of Terror"", Amityville Apocalypse","Reparto,  Producción,  Guion",Malibu Film Festival
Lauren C. Mayhew,none,"Dexter, WWE Superstars","Reparto,  Música,  Guion",None
Jimmy Drain,none,"Realm of Shadows, Dick Reno: Monster Slayer","Reparto,  Guion,  Producción","Berlin International Film Festival, Red Moon Film Festival"
Vernon Wells,1945,"Commando, La mujer explosiva","Reparto,  Producción,  Dirección","Melbourne Underground Film Festival, Accolade Competition"
Richard Tyson,1961,"Pánico a las tres, Black Hawk derribado","Reparto,  Producción,  Dirección","Great Lakes Film Festival, LA Femme International Film Festival"
Jeremy Durgana,none,"Crímenes en la Red, 8 Count","Reparto,  Dirección,  Guion",None
Reese Therrien,none,Bighorn,Reparto,None
Connor Bingham,none,"Case #111-878, Sunset People",Reparto,None
Jason Durgana,none,,"Dirección,  Reparto,  Guion","Reale Film Festival, Kalakari Film Fest"
Joseph Rajanayagam,none,My Best Life,"Reparto,  Equipos adicionales",None
Cameron Ashplant,none,,"Reparto,  Guion,  Producción","L.A. Indies Awards, New York Movie Awards"
Andrew T Hislop,none,"A Silent Imprisonment, Whispers of Freedom",Reparto,Sweden Film Awards
Billy Slaughter,none,"Los siete magníficos, Mindhunter","Reparto,  Producción,  Dirección","Action on Film International Film Festival, USA"
Dane Rhodes,1964,"Los siete magníficos, Una canción del pasado","Reparto,  Dirección de casting",None
Dean Hollingsworth,none,"Whispers of Freedom, Doctor Who",Reparto,None
Danene Montella,none,"Club Rat$, ""Age of Stone and Sky: The Warlocks Curse""","Reparto,  Producción,  Guion","Chelsea Film Festival, Post Alley Film Festival"
Joshua David Bishop,none,"""Je taime, Jean"", Before the Fish Fell","Reparto,  Guion,  Producción",None
Jacob Chattman,none,"Far Cry 5, Dahmer - Monstruo: La historia de Jeffrey Dahmer","Reparto,  Guion,  Producción",Independent Shorts Awards
Andreas Gauffin,1980,"Vendela, Dejta","Reparto,  Guion,  Producción","Independent Shorts Awards, Hollywood International Golden Age Festival"
Frida Söderling,none,"Det Kan Ingen Ta Ifrån Mig, Vendela","Reparto,  Maquillaje",None
Henrik Scheutz,none,"Clean Colored Wire, Unplugged",Reparto,None
Erik Dahlin,none,"The Schoolmaster Games, Hilma",Reparto,None
Johan Wessner,none,"Bliv kvar hos mig, Sherdil","Reparto,  Dirección de la segunda unidad o asistencia a dirección,  Equipos adicionales",None
Olga Markovic,none,"Saved, Skin Deep","Reparto,  Producción,  Guion",None
Terry L. Fossum,none,"My Perfect Love, Parasocial","Reparto,  Producción",None
Faith Clark Doebler,none,"""Dreamin Wild"", The Library",Reparto,None
Aimee Paxton,none,"Vacant Lot, ""Dreamin Wild""",Reparto,"Eastern Europe International Movie Awards, Venice Shorts"
Jose Franco,none,American Sangre,"Guion,  Dirección,  Reparto",None
Miguel Brito,none,,Reparto,Frida Film Festival
Johnny Cate,none,Chaos Theory,"Reparto,  Guion y continuidad",None
Lee Crooks,none,Somnus,Reparto,None
Yuri Kim,none,"Little Miracles, Players","Reparto,  Cámara y electricidad,  Guion",None
Aleksander Varadian,none,,Reparto,None
Stanley Bakar,none,"La enfermera, The Sommerdahl Murders",Reparto,None
Jonas René Bengtson,none,The LGBTQ+ Films: Q,"Reparto,  Equipos adicionales",None
Albert Bendix,1972,"Un parásito dentro de mí, Misterios en el museo","Reparto,  Producción,  Equipo ejecutivo",None
Aleksander Varadian,none,,Reparto,None
Robin Mae Andersen,none,,Reparto,None
Regitze Ingleby,none,,Reparto,None
Shauna Macdonald,1981,"The Descent: Part 2, Filth, el sucio","Reparto,  Banda sonora","Academy of Science Fiction, Fantasy & Horror Films, USA, BAFTA Awards, Scotland"
Adam Kerr,none,,"Reparto,  Dirección,  Guion",None
Marcquis Foster,none,,Reparto,None
Elaine C. Smith,1958,"Two Doors Down, Damaged","Reparto,  Guion,  Banda sonora","BAFTA Awards, Scotland"
Natalie Clark,none,"Doctor Who: Besieged, Journey Bound","Reparto,  Guion",None
Daniel Reshamwala,none,,Reparto,None
Colby Kipnes,none,"Jump Cut, Fleishman está en apuros",Reparto,None
Brandon Bright,none,"Star from the Shadows, 2 Late A Tale of Mallows Grove",Reparto,None
Brody Book,none,,Reparto,None
Juliet Weber,none,,Reparto,None
Ben Jacobs,none,,Reparto,None
Sean Witham,none,"Bugbear III, Bugbear","Reparto,  Producción,  Animación",None
Gianna Marrero,none,Bugbear III,Reparto,None
Nick Savino,none,"Bugbear III, The Spirited Mind of Harry T. Edward",Reparto,None
Delaney Wenner,none,"Requiem of Dreams, Autumn Cries and Winter Dies","Reparto,  Guion y continuidad,  Sonido",None
Sanna Persson,none,"Vid vintergatans slut, Fimbulvinter","Reparto,  Música,  Especialistas",None
Tind Soneby Wäneland,none,"Tras la venganza, Johan Falk: Leo Gaut","Reparto,  Equipos adicionales,  Guion y continuidad","""Film Clubs The Lost Weekend"", Nordic International Film Festival"
Kalle Waern,none,,Reparto,None
Josefine Stofkoper,none,Utväg,Reparto,Guldbagge Awards
Shiva Ayama,none,"The Masterpiece, Charlie","Reparto,  Producción,  Guion",None
Amir Malaklou,1989,"Evil, Viper Club","Reparto,  Producción,  Guion",None
Cru Alexander Timi,none,"The Flash, Cliff Street","Reparto,  Dirección,  Guion",New York International Film Awards
Abigail Agnes,none,"Orchidaceae 2023, Young, Single and Black",Reparto,None
Lydie Rivera,none,,Reparto,None
Quinn Vervynck,none,Homeless Paul & The Demons from Hell,"Maquillaje,  Reparto",None
Eddy Ngor,none,,Reparto,None
Nahomie Masengo Malemba,none,Trouble in Suburbia,Reparto,None
Maxine Brignell,none,,Reparto,None
Byron Brydges,none,"Witnesses, Games Children Play",Reparto,None
Sephira Bukasa,none,"Bakugan, Wrong Place Wrong Time 2022",Reparto,"Canada Shorts Film Festival, Oniros Film Awards"
Yan Liyunwei,none,,Reparto,None
Huang Miaoman,none,,Reparto,None
Huang Xiaohuang,none,,Reparto,None
Kerry-Ann Wright,none,"Heavy, The Ideal Couple","Reparto,  Dirección,  Guion",None
Jason Moore,none,,Reparto,None
Luther Saunders,none,,Reparto,None
Marlon McGlashan,none,"Mayor of Kingstown, The Ideal Couple","Reparto,  Edición,  Producción",None
Rochelle 'Vicky Ro' Mairs,none,"She Waits, She Waits","Guion,  Reparto",None
Amina Tariq,none,,Reparto,None
Lance Lawyer,none,When the Balloon Bursts,Reparto,None
Stanislav Przedlacki,none,Night Class,"Dirección,  Reparto",None
Bharadwaj Dogga,none,,Reparto,None
Svanika Allipuram,none,,Reparto,None
Tsuyoshi Kondo,none,"Milieu, Kantai",Reparto,None
Mutsuko Haba,none,Talk to Me,Reparto,None
Rasmus Mørch Andersen,none,,Reparto,None
Frederik Kjaer Christensen,none,,Reparto,None
Martin Christophersen,none,"Det er aldrig for sent, Copenhagen Cowboy","Especialistas,  Reparto,  Guion",None
Tommy Dominic,none,Det er aldrig for sent,Reparto,None
Mila Jacobsen,none,,Reparto,None
Taki Eddine Djennane,none,,Reparto,None
Sophia Sommer,none,"A Revair, Pünt",Reparto,None
Eya Takrouni,none,,Reparto,None
Fynn Lanter,none,,Reparto,None
Abhay Shankar Dubey,none,"Jalsa, The Whistleblower",Reparto,None
Akash Nagi,none,"7 Idiots, C-Grade Waala",Reparto,None
Akshay Neb,none,"Loop, Hai Taubba",Reparto,None
Sandeep Parmar,none,"What I Feel, Virgin MohitO","Guion,  Reparto,  Edición","We Care Film Festival, Tagore International Film Festival"
Aditya Patni,none,"Anniversary Night, C-Grade Waala","Dirección,  Guion,  Reparto",None
Aadhya Anand,2007,"Las begums de Bombay, Incomplete Love Story","Reparto,  Dirección","Filmfare OTT Awards, Indian Film and Television Awards"
Ajay Gehi,none,"Maqbool, Miilee",Reparto,Indian Telly Awards
Sanket Kataria,none,"Crushed, Abandoned","Reparto,  Dirección",None
Rajarajeshwari Mahita,none,"Abandoned, The Tails of Boo-Boo & Cuddly Poo",Reparto,None
Megan Reneau,none,"Black Summer, Jann","Reparto,  Especialistas,  Producción",None
Stephane Legault,none,"El renacido, The Last of Us","Reparto,  Transporte,  Especialistas",None
Kyle Durack,none,"CP Enforcer, Wynonna Earp","Reparto,  Guion,  Dirección",None
Ivan Pavletic,none,"476 A.D. Chapter One: The Last Light of Aries, 476 A.D. Chapter Two: The Dawning of the Age of Pisces","Reparto,  Guion,  Producción",None
Heath C. Heine,none,"Bored as Hell, Dark Reign: A SWTOR Fan Film","Reparto,  Producción,  Especialistas",None
Dustin Chitty,none,"The Mountain, Metamorphose","Reparto,  Dirección,  Guion",None
Kiere Gilbertson,none,"""All the Student Councils Men"", Severed","Reparto,  Guion",None
Caitlin Dempsey,none,"Motherlode, The Mountain","Reparto,  Dirección",None
Caroline Campos,none,,Reparto,None
Murilo Moraes,none,,Reparto,None
Teka Romualdo,none,"O Segundo Homem, Doutor Gama",Reparto,None
Charlize Diaz De Leon,none,"After Dark, New Girl",Reparto,None
Elizabeth von Isser,none,"The Wall, The Faith Club","Reparto,  Producción,  Cámara y electricidad",Indie Series Awards
Brittany Hoffner,none,"Neon Hereafter, House of Glass","Reparto,  Equipos adicionales",None
Jonathan von Mering,none,,Reparto,"Brussels Capital Film Festival, Fox International Film Festival"
Jennifer Almaguer,none,"""Somebodys Darling"", Halloween Night","Reparto,  Producción,  Equipos adicionales",None
Ryan Douglas,none,"Change Me, American Baby",Reparto,None
Johann Fitch,none,"American Spirit, Hechos polvo",Reparto,None
Gabriella Garza,none,,Reparto,None
Caroline Helander,none,"Long Slow Exhale, Best of Trades",Reparto,None
