actor_name,birth_year,know_for,actor_role,actor_awards
Srijla Guha,none,"Banjaara, Aa Aaa Harsaee",Reparto,None
Roy Angana,none,"Chupkotha 2, Noshtoneer",Reparto,None
Ambarish Bhattacharya,none,"Kabir, Raktabeej",Reparto,"""Critics Choice Film Awards, India"""
Kimberly Alcantara,none,"The Man and the Mask, Hide and Seek",Reparto,None
David Calderon,none,,Reparto,None
Lenzie Chao,none,,Reparto,None
James Contini,none,,Reparto,None
Jessie Cruz,none,"Streets, The Man and the Mask","Reparto,  Producción",None
Livania Carnello,none,Bush Knife,Reparto,None
Ashrana Chanderanberg,none,The Bush Knife,"Maquillaje,  Reparto",None
Sandile Dlamini,none,"Bush Knife, Imbewu - The Seed",Reparto,South African Film and Television Awards
Bruce Gounder,none,"Bush Knife, ""Fishs Tale""","Reparto,  Producción",None
Ryan Mayne,none,"The Bush Knife, Bush Knife",Reparto,None
Nalaka Daluwaththa,none,"Me Wage Adarayak, Seema Na Akase",Reparto,None
Kelum Kularathne,none,"Ethalaya, Goree","Reparto,  Guion,  Producción",None
Sheran Peiris,none,,"Reparto,  Producción",None
Sudeeksha Samadhi,none,Villain,Reparto,None
Sanju Samarasinghe,none,"Villain, Bonikka","Reparto,  Dirección de la segunda unidad o asistencia a dirección",None
Brendan Bean,none,"S.N.S.O.B - Supernatural Squad of Badasses Part 2, Ana & Mia",Reparto,None
Abigail Boyce,none,S.N.S.O.B - Supernatural Squad of Badasses Part 2,Reparto,None
Hugo Diaz,none,"Attraction Man, Sense",Reparto,None
James Douglas Dillon,none,"S.N.S.O.B - Supernatural Squad of Badasses Part 2, ""Its Neate, Evil & Heroic: The Reveal""",Reparto,None
Ashford Kamau,none,S.N.S.O.B - Supernatural Squad of Badasses Part 2,Reparto,None
Edward Chen,1996,"What the Hell Is Love, Xiao zi","Reparto,  Banda sonora","Golden Horse Film Festival, Taipei Film Festival"
Patty Pei-Yu Lee,none,"Mermaid Whispering, Fragmentos del pasado","Reparto,  Banda sonora","Golden Horse Film Festival, Taipei Film Festival"
Alyssa Chia,1974,"Zhi zun hong yan, Wo men yu e de ju li",Reparto,"Golden Horse Film Festival, Chlotrudis Awards"
Michael Jong-Quin Huang,1958,"Van Pao-te, Amensalism",Reparto,"Golden Bell Awards, Taiwan, Chinese Film Media Awards"
Adrián Suar,1968,"Sin código, El puntero","Producción,  Guion,  Reparto","Argentinean Film Critics Association Awards, Clarín Entertainment Awards"
Maggie Civantos,1984,"Antes de la quema, Alan","Reparto,  Producción,  Banda sonora","Fotogramas de Plata, Málaga Spanish Film Festival"
José Eduardo Derbez,1992,"Jaque Mate, Vino el amor",Reparto,Premios TVyNovelas
Tsahi Halevi,1975,"Fauda, HaShotrim","Reparto,  Banda sonora","Awards of the Israeli Film Academy, Accolade Competition"
Charo López,none,"Jaque Mate, Por Ahora","Reparto,  Guion,  Banda sonora",Argentinean Film Critics Association Awards
Meg Fox,none,,Reparto,None
Sylve Sta,none,,Reparto,None
Arnold Sw,none,,Reparto,None
Gustavo Angarita,none,,Reparto,None
Didier Ante,none,,Reparto,None
Jhonatan Ante,none,,Reparto,None
Andrés Benavides,none,,Reparto,None
Andrés Bustamante,none,,Reparto,None
Sophia Albarakbah,none,"Saka Perawan, Jiwa 8 Belas",Reparto,None
A. Galak,none,"Sembilu, Mat Kilau: Kebangkitan Pahlawan","Reparto,  Dirección de la segunda unidad o asistencia a dirección,  Especialistas",None
Jalaluddin Hassan,none,"XX Ray II, Absuelto",Reparto,Malaysian Film Festival
Shah Hazvee,none,Balik Kampung Tak Lonely Lagi,Reparto,None
Ikhram Juhari,none,"Polis Evo 2, Malbatt: Misi Bakara",Reparto,None
Antonio Bandera,none,,Reparto,None
Mel Gib,none,,Reparto,None
Will Smi,none,,Reparto,None
Teeradetch Metawarayut,none,"Khaen Rak Salap Chata, Nang Sao Thong Soi",Reparto,None
Chutavuth Pattarakampol,none,"Chinatown Chacha, Hormones",Reparto,None
Ranchrawee Uakoolwarawat,none,"Classic Again, Tricky in Love",Reparto,None
Chookiat Iamsook,none,"Sweet & Sour Revenge, Jukkalan","Reparto,  Dirección,  Guion",None
Thongthong Mokjok,none,"Waan Jai Yai Thaang Dao, Plon naya",Reparto,None
Aaron Kwok,1965,"Fu zi, Chun sing gai bei","Reparto,  Música,  Banda sonora","Golden Bauhinia Awards, Golden Horse Film Festival"
Richie Jen,1966,"Foh lung, Fei Ying","Reparto,  Dirección,  Guion","Hong Kong Film Awards, Puchon International Fantastic Film Festival"
Ka-Tung Lam,1967,"Juego sucio, Limbo","Reparto,  Producción,  Guion","Golden Bauhinia Awards, Golden Horse Film Festival"
Maggie Ho-yee Cheung,1970,"Di ya cao, Oi ngo bit jow","Reparto,  Banda sonora",None
Suet Lam,1964,"PTU, Na yeh ling san, ngoh choh seung liu Wong Gok hoi mong Dai Bou dik hung Van","Reparto,  Dirección de producción,  Equipos adicionales","Golden Bauhinia Awards, Golden Horse Film Festival"
Bruce Will,none,,Reparto,None
Chan Davis,none,"Lets Go: A New Vintage Story, The bullet to the ballot","Dirección,  Guion,  Reparto",None
Cha Johnson,none,,Reparto,None
Lael Mathis,none,,Reparto,None
Martha Simmons,none,,Reparto,None
Dennis White,none,"The Bullet to the Ballot 2, Lets Go: A New Vintage Story","Reparto,  Dirección de fotografía y cámara",None
Yami Gautam,1988,"Vicky Donor, Uri: The Surgical Strike",Reparto,"Filmfare Awards, Awards of the International Indian Film Academy"
Mohan Agashe,1947,"Toofaan, Rang De Basanti","Reparto,  Producción,  Composición","Filmfare Awards, National Film Awards, India"
Sukhita Aiyar,none,"Aarya, Srikanth",Reparto,None
Raj Arjun,none,"Thalaivi, Raees",Reparto,"Filmfare Awards, Zee Cine Awards"
Essence Adam,none,,Reparto,None
Gary Bell,none,,Reparto,None
Gary Brown,none,,Reparto,None
Ethan Clark,none,,Reparto,None
Charles A. Conley,none,"All I Think About is Revenge, Rap A Thon","Reparto,  Edición,  Dirección de fotografía y cámara",None
Miao Xie,none,"Mi padre es un héroe, Da meng xi you",Reparto,None
Enyou Yang,none,"Tian Tang Lv Xing Tuan, Jiao huan ren sheng",Reparto,"Golden Rooster Awards, Hundred Flowers Awards"
Tao Huang,none,"Huo guo ying xiong, Da ying jia",Reparto,None
Kuishan Pei,none,"Lü de shui, Ban ge xi ju",Reparto,None
Pema Jyad,none,"Hua Mulan, Bystander",Reparto,None
Matshepo Maleme,none,"House of Zwide, iNkaba",Reparto,South African Film and Television Awards
Jeffrey Sekele,none,"House of Zwide, Strike Back",Reparto,None
Joey Hensen,none,"Sour Milk, Operation",Reparto,None
Josephine Zukiswa,none,,Reparto,None
Phistus Maake,none,,Reparto,None
Liam Reeves,none,,Reparto,None
Kean Revil,none,,Reparto,None
Amir,none,,Reparto,None
Talha Kemiksiz,none,,"Dirección,  Reparto,  Guion",None
Umeyr Kemiksiz,none,,Reparto,None
Taner,none,,Reparto,None
Tansel,none,,Reparto,None
Nikia Briggs Kia B,none,"""One Womans Trash"", Hittin Licks","Reparto,  Producción,  Dirección de casting",None
Chris Ballinger,none,"The Rise, Fall, and Rerise of Lithium Phoenix, Method to the Madness",Reparto,None
Joshua J. Black,none,,Reparto,None
Nathan Bradford,none,"Self-Defence, Dead Con","Reparto,  Cámara y electricidad,  Edición",LA Shorts Awards
Leila Brown,none,Get Close,Reparto,None
Mayur Chauhan,none,"Friend Zone, Saiyar Mori Re",Reparto,None
Jagjeetsinh Vadher,none,"Samandar, Saiyar Mori Re","Reparto,  Dirección de casting",None
Dharmendra Gohil,none,"Kasoombo, Dimensions",Reparto,None
Deeksha Joshi,1992,"Samandar, Prem Prakaran",Reparto,"""Critics Choice Film Awards, India"""
Reeva Rachh,none,"Samandar, Bushirt T-shirt",Reparto,Rohip International Film Festival
Taisei Sakai,none,"Ô-Sama Sentai Kingu-Ôjâ, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,None
Aoto Watanabe,none,"Ohsama Sentai King-Ohger vs. Donbrothers, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,None
Erica Murakami,none,"Ohsama Sentai King-Ohger vs. Donbrothers, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,None
Yuzuki Hirakawa,none,"Ohsama Sentai King-Ohger: The Secrets of King Rcules, Ohsama Sentai King-Ohger vs. Donbrothers",Reparto,None
So Kaku,none,"Kamen Rider Zero-One, Prisioneros de Ghostland",Reparto,None
Taisei Sakai,none,"Ô-Sama Sentai Kingu-Ôjâ, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,None
Aoto Watanabe,none,"Ohsama Sentai King-Ohger vs. Donbrothers, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,None
Erica Murakami,none,"Ohsama Sentai King-Ohger vs. Donbrothers, Ohsama Sentai King-Ohger vs. Kyoryuger",Reparto,None
Yuzuki Hirakawa,none,"Ohsama Sentai King-Ohger: The Secrets of King Rcules, Ohsama Sentai King-Ohger vs. Donbrothers",Reparto,None
So Kaku,none,"Kamen Rider Zero-One, Prisioneros de Ghostland",Reparto,None
Robert Dow,none,,Reparto,None
Mark Rufo,none,,Reparto,None
Tim Barber,none,"Boudica, 3 Wishes for Christmas",Reparto,None
Anthony Fernandes,none,"Maachis, Zameen","Efectos especiales,  Efectos visuales,  Reparto",None
Eric Kofi Jr.,none,,"Reparto,  Guion,  Producción",None
Elona Gagani,none,"United Six, Before my Heart stops",Reparto,None
Nat Owusu Walters,none,,Reparto,None
Livi Ciananta,none,"""A Faeries Wanderlust""",Reparto,None
Ariyo Wahab,none,"Sayap-Sayap Patah, Merah Putih Memanggil",Reparto,None
Nadila Ernesta,none,"Miracle: Menantang Maut, Before I Met You",Reparto,None
Reza Hilman,none,"Asura, Mat Kilau: Kebangkitan Pahlawan","Reparto,  Equipos adicionales,  Especialistas",Maya Awards
Macho Hungan,none,"Dia Bukan Manusia, Keabadian",Reparto,None
Josiah Bennetone,none,"A Christmas Proposal, Kingdom Men",Reparto,None
Nelson J. Davis,none,"Braden, TheSexSymbol87","Reparto,  Producción,  Dirección","Direct Monthly Online Film Festival, Direct Short Online Film Festival"
Monique Marshall,none,"Blind Date, Busted & Disgusted","Reparto,  Producción,  Dirección",None
Joe McAlear,none,,Reparto,Indie Short Fest
Amiri Koronz Thompson,none,"Bunny & Clive, Take me to Amazing","Reparto,  Guion,  Dirección",None
Amy Fantasy,none,"Super Vixens 4, Super Vixens 7",Reparto,None
Doctor Kleever,none,"Super Vixens 7, Super Vixens 2",Reparto,None
Ashley Lane,none,,Reparto,"Adult Video News Awards, XBIZ Awards"
Trevor Overton,none,"Super Vixens 3, Super Vixens 4","Reparto,  Efectos especiales,  Especialistas",None
Devynn Christina Verdos,none,"Super Vixens 4, Super Vixens 7",Reparto,None
Ahmed El Awadi,none,"The Alexandrian, Musa",Reparto,None
Zeina,none,"El-Fuloos, El-Shabah",Reparto,Cairo National Festival for Egyptian Cinema
Hussein Fahmy,1940,"Viva Zalata, El-Fatenah wa el-Salook","Reparto,  Composición","Cairo National Festival for Egyptian Cinema, Cairo Arab Media Festival"
Salah Abdullah,none,"El-malek Farouk, El Harb El Alameya El Talta","Reparto,  Música,  Banda sonora","Cairo National Festival for Egyptian Cinema, Cairo Arab Media Festival"
Janit Bhutani,none,"Rudrakaal, Pyaar Ka Pehla Naam: Radha Mohan",Reparto,None
Sean M.D.,none,"Superman: Man of Tomorrow, Star Wars Audio Comics: YouTube Channel",Reparto,None
Alyssa Shadow,none,"Ward University, Lego Spider-Man Series",Reparto,None
Conor Brett,none,"Echo, Asphalt","Reparto,  Composición",None
Theo Moers,none,Superman: Man of Steel,Reparto,None
Ray Si,none,"""Five Nights at Freddys 3: This Happened Because of You"", Spider-Man: Web of Crime","Reparto,  Producción",None
Barlo Duran,none,Adjusted Mask,Reparto,None
Lungi Lemonier,none,,Reparto,None
Yan Ruiz,none,"Lost, The Sex Doll She-Bitch","Dirección de la segunda unidad o asistencia a dirección,  Reparto,  Equipos adicionales",None
Lior Selve,none,"The Ritz, The Christmas Garden","Reparto,  Equipos adicionales",None
Ross K. Foad,none,"The Mary Morstan Mysteries, Black Widow: Forever Red","Reparto,  Guion,  Producción","Fright Night Film Festival, US, GeekFest Film Festival"
Allana Victoria Blood,none,,Reparto,None
Orson Mochizuki,none,"Bad Poetry Tokyo, Come and Go","Reparto,  Guion,  Producción",None
Arjun Kalari,none,"Bagheera, Scene Number 62","Especialistas,  Reparto",None
Krishnadas Murali,none,"Shubasya Sheekhram, Lucifer - Bootleg Universe","Reparto,  Guion,  Dirección",None
Kenzo,none,,Reparto,None
Jyothish Jyo,none,"Mike, Varadhan",Reparto,None
Tré Boyd,none,"Borrowed Time, Luciana",Reparto,None
Javon Clarke,none,,Reparto,None
Julian Bumatay,none,,Reparto,None
Jackson Wright,none,,Reparto,None
Joshua 'JD' Jones,none,Kindred,Reparto,None
Ron Hall,none,"Vampire Assassin, Orgazmo","Reparto,  Especialistas,  Producción",None
Miguel Peralta,none,"Atrapado, Gringo Hunters","Reparto,  Especialistas",None
Roxy Linda Vazquez,none,"Jugando Con Fuego, Jun",Reparto,None
Akalanka Prabashwara,none,"The Beast Inside, Yan",Reparto,None
Amapani Galmangoda,none,,Reparto,None
Sandun Lakshan,none,Kolonbiya,Reparto,None
Malintha Praveen,none,"The Beast Inside, Fear of HAHA","Reparto,  Especialistas,  Equipos adicionales",None
Dilshan Supun,none,The Failed Mission,Reparto,None
Mikkel Viese Alberg,none,Red River,"Edición,  Dirección,  Reparto",None
Christian Møller,none,,Reparto,None
Tobias Chau Poulsen,none,,Reparto,None
Nikolaj Rose,none,,Reparto,None
Nickolaj Risgaard Sørensen,none,,Reparto,None
Timothy Turner,none,"Whisper: Echoes of Dread, The Wanderer 2","Reparto,  Dirección,  Dirección de fotografía y cámara",None
Roane Borger,none,"Whisper: Trinity, The Wanderer","Reparto,  Guion,  Edición",None
Johnathan Lopez,none,"Fernando, The Redacted Files","Reparto,  Dirección de fotografía y cámara",None
John Ferguson,none,"The Wanderer 2, Fernando","Reparto,  Producción,  Dirección de fotografía y cámara",None
Peter Choi,none,"More, More, More!, The Package",Producción,None
Jarred Land,none,"Múnich, Down and Dangerous","Producción,  Cámara y electricidad,  Dirección de fotografía y cámara",None
Hafsa Munir,none,,Reparto,None
Bobby Tonelli,none,"Trampas sin límites, Westworld",Reparto,None
Masayasu Watanabe,none,,Reparto,None
Florence Fauquet,none,"En terrasse, Karateka","Reparto,  Dirección,  Guion",Clermont-Ferrand International Short Film Festival
Jisca Kalvanda,1994,"3xManon, Divinas",Reparto,None
Nathan Tarver,none,"Jack Stone: End of the Line, Jack Stone: Rogue Albion","Reparto,  Especialistas,  Arte",None
Tony Cole,none,"Jack Stone: Diamond Cutter, Jack Stone: Instruments of Armageddon","Reparto,  Dirección,  Guion",None
Eddie Cole,none,"The Club III, Million Dollar Bill","Reparto,  Dirección de fotografía y cámara,  Composición",None
Edwin Lakes,none,"Jack Stone: Force Majeure, The Club III","Reparto,  Música,  Especialistas",None
Harry Quinn,none,,Reparto,None
Tony Cole,none,"Jack Stone: Diamond Cutter, Jack Stone: Instruments of Armageddon","Reparto,  Dirección,  Guion",None
Pauli Janhunen Calderón,1996,"Clank: Legado de las sombras, Clank: Agente reclutada","Dirección,  Reparto,  Guion",Los Angeles Film Awards
David Anghel,none,"Star Wars: The Dark Empire, Star Wars: Qui-Gon Jinn II","Reparto,  Guion,  Dirección",None
Eddie Cole,none,"The Club III, Million Dollar Bill","Reparto,  Dirección de fotografía y cámara,  Composición",None
Emilio Janhunen Calderón,none,"""Rinoplasticos: A Warriors Journey"", Clank and Goldscar","Reparto,  Dirección,  Guion",None
Matthew Stephen Smith,none,"""Americas Next Top Model"", New Girl","Reparto,  Producción,  Guion",None
Zack Gergel,none,"Bunny!, ""Dont Be A Bitch""","Reparto,  Sonido",None
Eliza Fall,none,White Lies,Reparto,None
Nick Easterling,none,"Not Another Zombie Movie, Sinners and Saint",Reparto,None
Logan Davis,none,"Doppelganger, The Recall","Dirección,  Reparto,  Guion",None
Zach Davis,none,,"Reparto,  Producción",None
Gavin Briggs,none,"Donkey Dust, Donkey Dust","Dirección,  Guion,  Dirección de fotografía y cámara",None
AmyJo Fiery,none,,None,None
Red Herzog,none,Twenty,"Reparto,  Especialistas,  Dirección",None
Jo D,none,,Reparto,None
Michael Rock,none,"Tahoe Joe, Ghost","Reparto,  Producción,  Dirección","Athens International Film Festival, Athens International Monthly Art Film Festival"
Brandon J Minor,none,"Friends Family & Lovers, Cutting It Klose",Reparto,None
Brittnee Williams,none,"Happy Birthday: Web Series, Chicago Med","Reparto,  Dirección de la segunda unidad o asistencia a dirección",None
Angel Sims,none,"Flash, Lake of Lies","Producción,  Reparto,  Guion",None
Joshua Quandah,none,,Reparto,None
Mykal Bailey,none,,Reparto,None
Dneail,none,"Galaxies Beyond, Mr. Awesome","Dirección,  Guion,  Edición",None
Artificial Intelligence,none,,Reparto,None
California Albert,none,,Reparto,None
Jai Brandon,none,"After Death, Falling Through Time","Reparto,  Guion,  Dirección",None
Aracely Gonzalez,none,,Reparto,None
Daisy Elizabeth Gonzalez,none,,Reparto,None
Nathan Timothy Gonzalez,none,,Reparto,None
Drayton Williams,none,,"Reparto,  Guion,  Decoración",None
Hunter Williams,none,,"Dirección,  Reparto,  Edición",None
Terran Mikaela,none,Mandatory Vaccine Townhall,Reparto,None
Jack Smith,none,,"Reparto,  Cámara y electricidad,  Equipos adicionales",None
Ethan Hartman,none,,"Reparto,  Guion y continuidad,  Sonido",None
Kissan Desai,none,"Gunpoint, Gunpoint!","Producción,  Reparto,  Dirección",None
Jalen Hayes,none,,Reparto,None
Ian Medrano,none,Gunpoint,"Reparto,  Equipos adicionales",None
Julie Murphy,none,,Reparto,None
Fiona Finneran,none,,Reparto,None
Joseph Larkin,none,"Raymond Vs. The Mormons, Beyond the Pale","Reparto,  Dirección,  Guion",None
Jacob Pensky,none,Road to Mimosaville,Reparto,None
Ava Calhoun,none,,Reparto,None
David Mora,none,"Los amores cobardes, Los amigos raros","Reparto,  Dirección,  Guion",CinEuphoria Awards
Christian Caner,none,"Der König von Palma, Los herederos de la tierra",Reparto,None
Juli Mira,none,"Cuéntame cómo pasó, Electroshock",Reparto,"Monte-Carlo TV Festival, Turia Awards"
Kino Gil,none,"La noche del cocodrilo, Camilo Superstar","Reparto,  Producción",None
Xavi Mira,none,"La Unidad, El incidente","Reparto,  Banda sonora",Peñíscola Comedy Film Festival
Angus Rundell,none,"Jack Hayes, ""Whats the Situation?""","Reparto,  Edición,  Dirección de fotografía y cámara",None
Benjamin Pritchard,none,"Short Tempered, Tradire","Reparto,  Producción,  Guion",None
Will Grant-McInnes,none,"Guns, Bullets and Low Riders: The Rider Returns, Entomophobia: The New Normal","Reparto,  Especialistas,  Guion",None
Zakary Giles,none,,Reparto,None
Lachlan Rundell,none,Defcon,Reparto,None
Rachel Maclean,none,"Duck, Arena","Dirección,  Guion,  Reparto",None
Adam Burke,none,"""Nanas Here"", (mis)placed","Reparto,  Guion,  Efectos visuales",None
Joy Ford,none,"Johnny Twelve-Step, Silly Little Wounds","Reparto,  Equipos adicionales",None
Carter Monahan,none,"Meat Raffle, Deeply Troubled",Reparto,None
Mike Bredon,none,"Betta Fish, MacGuffin","Reparto,  Dirección",None
Sydney Asthon,none,,Reparto,None
Anand,none,,None,None
Simon Schärmeli,none,Good Bye Anna,"Reparto,  Dirección,  Guion",None
Ramon Wild,none,"Der Schatz des Ritters, Myristica",Reparto,None
Clint Esposito,none,"Blue Bloods, ""Bro""","Reparto,  Dirección,  Especialistas",None
Zoltán Hódi,none,"Vengadores: La era de Ultrón, Un espía y medio","Especialistas,  Reparto,  Dirección",None
Jeanne Solange Ramin,none,"Sinister Assistant, City of Angels, City of Vampires!","Reparto,  Guion,  Dirección",None
Leslie Susana Campbell,none,"Making Bad Decisions, City of Angels, City of Vampires!","Reparto,  Guion,  Dirección",IndieX Film Festival
Daniel Duarte,none,,Reparto,None
Bruce Chong,none,"The Gentlemen: Los señores de la mafia, Ahora me ves 2","Reparto,  Guion,  Producción",None
Samuel Mak,none,"Tomb Raider, Atrapados en el abismo","Reparto,  Especialistas,  Guion",None
Lorraine Tai,none,"The Batman, Doctors",Reparto,None
Quang Luong,none,"The Brothers Swap, Gladiators",Reparto,None
Aaron Lo,none,The Fly,Reparto,None
Héctor Esteller,none,Malicioso,Reparto,None
Leticia Esteller,none,Malicioso,Reparto,None
Andrea Harhoff,none,"Bloody Party, Burden",Reparto,None
Kadin Miles Wong,none,,Reparto,None
Speedy Valente,none,,Reparto,None
Sebastian Stark,none,,Reparto,"Conocido/a por, Más de esta persona"
Nick Tomassetti,none,Ten Ways 1.4 Up to You,Reparto,None
Anthony Reno,none,"El escuadrón suicida, Guardianes de la Galaxia Vol. 2","Vestuario,  Reparto,  Diseño de vestuario",None
Steven Shelby,none,,"Especialistas,  Reparto,  Equipos adicionales",Screen Actors Guild Awards
JP Valenti,none,"ATL Homicide, The Cobblestone Corridor","Reparto,  Equipos adicionales,  Casting","New York City Independent Film Festival, Stories by the River Film Festival"
Thomas Patrick Ryan Watson,none,"Gotham Knights, Cobra Kai","Especialistas,  Reparto",Screen Actors Guild Awards
Sam Benjamin,none,"La Liga de la Justicia de Zack Snyder, The Pay Day","Reparto,  Guion,  Dirección","British Urban Film Festival, Festigious International Film Festival"
Rupert Charmak,none,"Dark Justice, Destino a Brighton","Reparto,  Especialistas,  Equipos adicionales",None
Alex Montagnani,1988,,"Reparto,  Guion,  Dirección",Top Shorts Film Festival
Robert Shannon,none,"The Information, SO19","Equipos adicionales,  Reparto,  Producción","Copenhagen International Film Festival, Los Angeles Cinefest"
Neven Pilipovic,1984,"Blót - Zwischen den Welten, Die Slawen - unsere geheimnisvollen Vorfahren",Reparto,None
